species_id,n_p_genes,n_m_genes,total_pairs,n_same_contig,pct_same_contig,median_dist,min_dist,mean_dist
s__Endozoicomonas_sp024606225--RS_GCF_024606225.1,6,2,12,0,0.0,,,
s__Ensifer_A_sp900466575--GB_GCA_900466575.1,7,3,21,0,0.0,,,
s__Ensifer_A_sp900467685--GB_GCA_900467685.1,7,3,21,4,19.0,67.5,66.0,67.5
s__Ensifer_adhaerens--RS_GCF_000697965.2,10,5,50,18,36.0,337.0,113.0,1048.1
s__Ensifer_adhaerens_A--RS_GCF_017488845.2,9,6,54,24,44.4,381.5,124.0,1312.2
s__Ensifer_adhaerens_G--RS_GCF_013283195.1,10,5,50,24,48.0,336.5,91.0,537.2
s__Ensifer_sp001429285--RS_GCF_001429285.1,9,6,54,4,7.4,212.5,211.0,212.5
s__Ensifer_sp900469595--RS_GCF_020035535.1,8,5,40,20,50.0,404.5,121.0,1377.1
s__Ensifer_sp900469625--GB_GCA_900469625.1,9,5,45,12,26.7,323.5,86.0,259.8
s__Enterobacter_B_lignolyticus--RS_GCF_000164865.1,8,2,16,16,100.0,1197.5,200.0,1197.5
s__Enterobacter_D_sp900116015--RS_GCF_900116015.1,5,2,10,1,10.0,136.0,136.0,136.0
s__Enterobacter_cloacae_Q--RS_GCF_011078175.1,7,2,14,4,28.6,157.5,156.0,157.5
s__Enterobacter_soli--RS_GCF_001654845.1,8,2,16,0,0.0,,,
s__Enterobacter_sp003057745--RS_GCF_003057745.1,8,2,16,1,6.2,108.0,108.0,108.0
s__Eoetvoesia_caeni--RS_GCF_003315175.1,10,4,40,6,15.0,31.5,26.0,31.5
s__Erwinia_sp001422605--RS_GCF_018141005.1,11,3,33,33,100.0,1479.0,211.0,1541.6
s__Erythrobacter_sp002842735--GB_GCA_002842735.1,3,1,3,0,0.0,,,
s__Eubacterium_R_sp945221685--GB_GCA_945221685.1,2,1,2,0,0.0,,,
s__Evansella_clarkii--RS_GCF_002019695.1,11,2,22,22,100.0,1060.0,21.0,1094.6
s__Exiguobacterium_A_antarcticum--RS_GCF_000685865.1,5,4,20,8,40.0,151.5,120.0,151.5
s__Exiguobacterium_A_sp913775715--GB_GCA_913775715.1,4,4,16,12,75.0,175.5,121.0,431.2
s__Exiguobacterium_aestuarii--RS_GCF_020171655.1,5,3,15,9,60.0,1108.0,91.0,777.0
s__Exiguobacterium_alkaliphilum--RS_GCF_000714435.1,5,3,15,3,20.0,89.0,88.0,89.0
s__Exiguobacterium_aurantiacum_A--RS_GCF_001766415.1,3,3,9,9,100.0,1023.0,90.0,719.7
s__Exiguobacterium_profundum_A--RS_GCF_001909285.1,4,3,12,12,100.0,1074.0,90.0,1048.8
s__Exiguobacterium_sp004336985--RS_GCF_004336985.1,3,3,9,3,33.3,89.0,88.0,89.0
s__Exiguobacterium_sp018617395--RS_GCF_018617395.1,4,3,12,9,75.0,1039.0,90.0,730.3
s__Exiguobacterium_sp018617485--RS_GCF_018617485.1,5,3,15,9,60.0,1049.0,92.0,738.0
s__F1-60-MAGs163_sp024711025--GB_GCA_024711025.1,2,5,10,0,0.0,,,
s__F23-D06_sp002311645--GB_GCA_002311645.1,3,1,3,0,0.0,,,
s__FACHB-800_sp014698825--RS_GCF_014698825.1,16,3,48,0,0.0,,,
s__FEN-1139_sp003154095--GB_GCA_003154095.1,11,2,22,0,0.0,,,
s__FEN-1191_sp020029535--GB_GCA_020029535.1,2,2,4,0,0.0,,,
s__FEN-1297_sp021831685--GB_GCA_021831685.1,4,8,32,0,0.0,,,
s__FJAT-45066_sp002335755--RS_GCF_002797415.1,8,1,8,8,100.0,2443.5,1110.0,1989.9
s__FJAT-46582_sp002797375--RS_GCF_002797375.1,5,2,10,10,100.0,1077.0,269.0,999.1
s__Faecousia_sp945875335--GB_GCA_945875335.1,5,1,5,0,0.0,,,
s__Fen-1038_sp021812905--GB_GCA_021812905.1,3,2,6,0,0.0,,,
s__Fen-1038_sp021824575--GB_GCA_021824575.1,4,2,8,0,0.0,,,
s__Fen-1039_sp003141455--GB_GCA_003141455.1,1,4,4,0,0.0,,,
s__Fen-1039_sp003141955--GB_GCA_003141955.1,1,1,1,0,0.0,,,
s__Fen-1039_sp003158295--GB_GCA_003158295.1,1,1,1,0,0.0,,,
s__Fen-1039_sp003171065--GB_GCA_003171065.1,1,1,1,0,0.0,,,
s__Fen-1058_sp003154115--GB_GCA_003154115.1,6,1,6,0,0.0,,,
s__Fen-1064_sp003153955--GB_GCA_003153955.1,2,4,8,0,0.0,,,
s__Fen-1064_sp003162335--GB_GCA_003162335.1,4,2,8,0,0.0,,,
s__Fen-1077_sp003141235--GB_GCA_003141235.1,3,2,6,0,0.0,,,
s__Fen-1087_sp003161855--GB_GCA_003161855.1,1,1,1,0,0.0,,,
s__Fen-1118_sp003136095--GB_GCA_003136095.1,5,1,5,0,0.0,,,
s__Fen-1135_sp003142635--GB_GCA_003142635.1,2,4,8,0,0.0,,,
s__Fen-1135_sp003153775--GB_GCA_003153775.1,2,2,4,0,0.0,,,
s__Fen-1137_sp003142855--GB_GCA_003142855.1,9,2,18,0,0.0,,,
s__Fen-1137_sp003153015--GB_GCA_003153015.1,7,2,14,0,0.0,,,
s__Fen-1137_sp003157315--GB_GCA_003157315.1,4,1,4,0,0.0,,,
s__Fen-1137_sp003157775--GB_GCA_003157775.1,5,2,10,0,0.0,,,
s__Fen-1137_sp003158395--GB_GCA_003158395.1,9,2,18,0,0.0,,,
s__Fen-1137_sp003158455--GB_GCA_003158455.1,6,2,12,0,0.0,,,
s__Fen-1137_sp003158735--GB_GCA_003158735.1,9,1,9,0,0.0,,,
s__Fen-1137_sp003170035--GB_GCA_003170035.1,4,3,12,0,0.0,,,
s__Fen-1174_sp003153935--GB_GCA_003153935.1,5,3,15,5,33.3,49.0,47.0,50.2
s__Fen-1245_sp003157095--GB_GCA_003157095.1,3,2,6,0,0.0,,,
s__Fen-1254_sp003162695--GB_GCA_003162695.1,1,1,1,0,0.0,,,
s__Fen-1255_sp003154155--GB_GCA_003154155.1,4,1,4,0,0.0,,,
s__Fen-1258_sp003155655--GB_GCA_003155655.1,5,1,5,0,0.0,,,
s__Fen-1258_sp021812745--GB_GCA_021812745.1,4,1,4,0,0.0,,,
s__Fen-1258_sp023381535--GB_GCA_023381535.1,4,3,12,0,0.0,,,
s__Fen-1260_sp003162635--GB_GCA_003162635.1,1,5,5,0,0.0,,,
s__Fen-1262_sp003152875--GB_GCA_003152875.1,5,4,20,0,0.0,,,
s__Fen-1273_sp003157485--GB_GCA_003157485.1,2,3,6,0,0.0,,,
s__Fen-1273_sp003161955--GB_GCA_003161955.1,1,3,3,0,0.0,,,
s__Fen-1298_sp003142475--GB_GCA_003142475.1,5,1,5,0,0.0,,,
s__Fen-1298_sp003142575--GB_GCA_003142575.1,4,1,4,0,0.0,,,
s__Fen-1298_sp003155495--GB_GCA_003155495.1,5,2,10,0,0.0,,,
s__Fen-1308_sp003170655--GB_GCA_003170655.1,3,2,6,0,0.0,,,
s__Fen-1317_sp003154195--GB_GCA_003154195.1,6,1,6,0,0.0,,,
s__Fen-1342_sp003162245--GB_GCA_003162245.1,1,1,1,0,0.0,,,
s__Fen-1362_sp003170415--GB_GCA_003170415.1,3,1,3,0,0.0,,,
s__Fen-1467_sp003142615--GB_GCA_003142615.1,3,2,6,0,0.0,,,
s__Fen-1467_sp003142955--GB_GCA_003142955.1,3,2,6,0,0.0,,,
s__Fen-1467_sp003153035--GB_GCA_003153035.1,3,1,3,0,0.0,,,
s__Fen-181_sp003170135--GB_GCA_003170135.1,8,2,16,0,0.0,,,
s__Fen-183_sp003152095--GB_GCA_003152095.1,1,1,1,0,0.0,,,
s__Fen-455_sp003140595--GB_GCA_003140595.1,3,1,3,0,0.0,,,
s__Fen-455_sp003166375--GB_GCA_003166375.1,3,4,12,0,0.0,,,
s__Fen-549_sp003162055--GB_GCA_003162055.1,2,3,6,0,0.0,,,
s__Fen-668_sp003153855--GB_GCA_003153855.1,2,4,8,0,0.0,,,
s__Fen-671_sp003166025--GB_GCA_003166025.1,4,2,8,0,0.0,,,
s__Fen-7_sp003162615--GB_GCA_003162615.1,1,8,8,0,0.0,,,
s__Fen-999_sp003157035--GB_GCA_003157035.1,7,4,28,0,0.0,,,
s__Fen731_sp003155275--GB_GCA_003155275.1,3,6,18,0,0.0,,,
s__Ferdinandcohnia_onubensis--RS_GCF_002734215.1,9,2,18,0,0.0,,,
s__Fermentibacter_daniensis--GB_GCA_001618605.1,3,1,3,0,0.0,,,
s__Fermentimonas_sp002398875--GB_GCA_002398875.1,6,4,24,0,0.0,,,
s__Ferrovum_sp021796835--GB_GCA_021796835.1,4,1,4,0,0.0,,,
s__Ferrovum_sp021798835--GB_GCA_021798835.1,4,2,8,0,0.0,,,
s__Ferrovum_sp021805445--GB_GCA_021805445.1,4,1,4,0,0.0,,,
s__Fibrella_algicola--RS_GCF_011742925.1,1,4,4,0,0.0,,,
s__Fictibacillus_C_sp001510655--RS_GCF_001510655.1,5,3,15,8,53.3,858.5,815.0,858.5
s__Flavihumibacter_sp018993145--RS_GCF_021491375.1,3,3,9,2,22.2,603.5,424.0,603.5
s__Flavimobilis_rhizosphaerae--RS_GCF_014852685.1,5,2,10,0,0.0,,,
s__Flavipsychrobacter_sp013286835--GB_GCA_013286835.1,3,3,9,0,0.0,,,
s__Flavobacterium_akiainvivens--RS_GCF_001278115.1,1,2,2,2,100.0,827.0,521.0,827.0
s__Flavobacterium_anhuiense--RS_GCF_900101855.1,1,3,3,1,33.3,589.0,589.0,589.0
s__Flavobacterium_bizetiae--RS_GCF_902804475.1,2,3,6,0,0.0,,,
s__Flavobacterium_limi--RS_GCF_010645075.1,2,2,4,0,0.0,,,
s__Flavobacterium_nitrogenifigens--RS_GCF_003254565.1,1,3,3,0,0.0,,,
s__Flavobacterium_panacis--RS_GCF_024649945.1,3,5,15,2,13.3,285.0,211.0,285.0
s__Flavobacterium_pectinovorum--RS_GCF_900142715.1,1,3,3,0,0.0,,,
s__Flavobacterium_piscis--RS_GCF_001686925.1,2,4,8,0,0.0,,,
s__Flavobacterium_pokkalii--RS_GCF_014596575.1,4,2,8,0,0.0,,,
s__Flavobacterium_profundi_A--RS_GCF_000833025.1,6,2,12,12,100.0,491.0,13.0,526.2
s__Flavobacterium_sp001429295--RS_GCF_001429295.1,1,3,3,0,0.0,,,
s__Flavobacterium_sp002399805--RS_GCF_016405855.1,2,2,4,0,0.0,,,
s__Flavobacterium_sp002413745--GB_GCA_002413745.1,6,3,18,0,0.0,,,
s__Flavobacterium_sp012270005--GB_GCA_012270005.1,1,5,5,0,0.0,,,
s__Franconibacter_helveticus--RS_GCF_000463115.2,4,2,8,0,0.0,,,
s__Frankia_alni--RS_GCF_000058485.1,4,3,12,12,100.0,4927.5,2872.0,4339.5
s__Frankia_soli--RS_GCF_001854695.1,3,6,18,0,0.0,,,
s__Frankia_sp016786325--RS_GCF_016786325.1,10,7,70,0,0.0,,,
s__Fredricksoniimonas_sp002753465--GB_GCA_002753465.1,4,3,12,0,0.0,,,
s__Frigoribacterium_endophyticum--RS_GCF_011759585.1,8,3,24,1,4.2,491.0,491.0,491.0
s__Frigoribacterium_sp000878135--RS_GCF_000878135.1,5,2,10,0,0.0,,,
s__Frigoribacterium_sp001423905--RS_GCF_001423905.1,6,1,6,6,100.0,481.0,300.0,481.0
s__Frigoribacterium_sp001424645--RS_GCF_001424645.1,5,2,10,10,100.0,1111.0,366.0,1111.0
s__Frisingicoccus_sp009929615--GB_GCA_009929615.1,3,2,6,0,0.0,,,
s__Frondihabitans_sp001423105--RS_GCF_001423105.1,7,2,14,6,42.9,137.5,106.0,137.5
s__Fructilactobacillus_florum--RS_GCF_001436645.1,7,1,7,0,0.0,,,
s__Fructilactobacillus_sp024029355--RS_GCF_024029355.1,7,1,7,7,100.0,371.0,137.0,272.0
s__Fulvimonas_soli--RS_GCF_003148905.1,4,1,4,0,0.0,,,
s__Furfurilactobacillus_rossiae--RS_GCF_000428925.1,10,3,30,0,0.0,,,
s__G023898385_sp023898385--GB_GCA_023898385.1,5,1,5,5,100.0,2237.0,501.0,1543.4
s__GCA-001856825_sp021787125--GB_GCA_021787125.1,1,4,4,0,0.0,,,
s__GCA-001856825_sp021792255--GB_GCA_021792255.1,1,5,5,2,40.0,137.0,76.0,137.0
s__GCA-001856825_sp021827945--GB_GCA_021827945.1,1,1,1,0,0.0,,,
s__GCA-001856825_sp021831005--GB_GCA_021831005.1,1,4,4,0,0.0,,,
s__GCA-002050365_sp002050365--GB_GCA_002050365.1,1,3,3,0,0.0,,,
s__GCA-002790365_sp022573715--GB_GCA_022573715.1,1,2,2,0,0.0,,,
s__GCA-003244245_sp003244245--GB_GCA_003244245.1,7,1,7,0,0.0,,,
s__GCA-2699125_sp020634455--GB_GCA_020634455.1,10,4,40,24,60.0,500.5,38.0,643.4
s__GCA-2702655_sp019636345--GB_GCA_019636345.1,3,2,6,1,16.7,405.0,405.0,405.0
s__GCA-2721545_sp004356775--GB_GCA_004356775.1,3,2,6,0,0.0,,,
s__GCA-2722315_sp018334995--GB_GCA_018334995.1,7,1,7,0,0.0,,,
s__GCA-2726245_sp020638975--GB_GCA_020638975.1,3,4,12,3,25.0,34.0,33.0,34.0
s__GCA-2726245_sp020638995--GB_GCA_020638995.1,7,5,35,6,17.1,144.0,23.0,144.0
s__GCA-2730555_sp022561735--GB_GCA_022561735.1,1,1,1,0,0.0,,,
s__GCA-2730555_sp022574675--GB_GCA_022574675.1,2,2,4,0,0.0,,,
s__GCA-2732755_sp020639255--GB_GCA_020639255.1,4,1,4,3,75.0,242.0,241.0,242.0
s__GCA-2746605_sp020635275--GB_GCA_020635275.1,3,3,9,3,33.3,35.0,34.0,35.0
s__GCA-2753255_sp002753255--GB_GCA_015231885.1,5,1,5,2,40.0,24.5,24.0,24.5
s__GCA-2753275_sp002753275--GB_GCA_002753275.1,2,2,4,0,0.0,,,
s__GJ-E10_sp000828975--GB_GCA_000828975.1,5,2,10,10,100.0,1095.5,270.0,931.1
s__GJ-E10_sp021838715--GB_GCA_021838715.1,5,1,5,0,0.0,,,
s__GJ-E10_sp021842465--GB_GCA_021842465.1,5,1,5,0,0.0,,,
s__GMQP-bins7_sp005888365--GB_GCA_005888365.1,4,4,16,0,0.0,,,
s__GMQP-bins7_sp020029615--GB_GCA_020029615.1,3,5,15,0,0.0,,,
s__GUT77_sp009786415--GB_GCA_009786415.1,2,2,4,0,0.0,,,
s__GUT77_sp009786575--GB_GCA_009786575.1,2,2,4,0,0.0,,,
s__GWB2-47-37_sp021792185--GB_GCA_021792185.1,4,5,20,1,5.0,14.0,14.0,14.0
s__GWF2-39-127_sp003242895--GB_GCA_003242895.1,5,3,15,5,33.3,17.0,10.0,16.0
s__Ga0074130_sp001464495--GB_GCA_001464495.1,4,6,24,4,16.7,95.5,94.0,95.5
s__Ga0074139_sp001464795--GB_GCA_001464795.1,6,3,18,0,0.0,,,
s__Ga0077523_sp001464765--GB_GCA_001464765.1,3,4,12,1,8.3,29.0,29.0,29.0
s__Ga0077527_sp001464815--GB_GCA_001464815.1,5,1,5,0,0.0,,,
s__Ga0077529_sp001464525--GB_GCA_022841705.1,3,2,6,2,33.3,1061.5,1061.0,1061.5
s__Ga0077530_sp001464655--GB_GCA_022844275.1,4,5,20,4,20.0,488.5,291.0,489.0
s__Ga0077536_sp001464935--GB_GCA_001464935.1,2,4,8,0,0.0,,,
s__Ga0077548_sp001464215--GB_GCA_001464215.1,6,2,12,0,0.0,,,
s__Ga0077548_sp019635635--GB_GCA_019635635.1,4,2,8,4,50.0,1569.5,1568.0,1569.5
s__Ga0077553_sp001464575--GB_GCA_001464575.1,4,3,12,0,0.0,,,
s__Ga0077555_sp001464755--GB_GCA_001464755.1,6,4,24,0,0.0,,,
s__Ga0077555_sp001464955--GB_GCA_001464955.1,7,4,28,6,21.4,553.0,177.0,576.3
s__Ga0077560_sp001464275--GB_GCA_001464275.1,5,6,30,0,0.0,,,
s__Ga0077560_sp020636905--GB_GCA_020636905.1,5,2,10,0,0.0,,,
s__Galbitalea_soli--RS_GCF_010686725.1,7,2,14,0,0.0,,,
s__Gallimonas_sp944367465--GB_GCA_944367465.1,2,2,4,0,0.0,,,
s__Gallionella_sp002381565--GB_GCA_002381565.1,7,4,28,4,14.3,2.5,1.0,2.5
s__Gallionella_sp002414205--GB_GCA_002414205.1,3,4,12,0,0.0,,,
s__Gallionella_sp013044075--GB_GCA_013044075.1,5,4,20,4,20.0,7.5,6.0,7.5
s__Gallionella_sp021787435--GB_GCA_021787435.1,4,4,16,8,50.0,51.0,1.0,51.0
s__Gallionella_sp021821945--GB_GCA_021821945.1,4,2,8,4,50.0,2.5,1.0,2.5
s__Gemmatimonas_sp002483225--GB_GCA_002483225.1,1,3,3,0,0.0,,,
s__Gemmiger_sp944388125--GB_GCA_944388125.1,4,3,12,0,0.0,,,
s__Gemmiger_sp944388145--GB_GCA_944388145.1,3,2,6,0,0.0,,,
s__Geobacillus_sp002809955--RS_GCF_002809955.1,3,4,12,0,0.0,,,
s__Geobacillus_thermodenitrificans--RS_GCF_000496575.1,4,4,16,0,0.0,,,
s__Geobacter_benzoatilyticus--RS_GCF_017338855.1,4,3,12,12,100.0,242.5,71.0,442.8
s__Geobacter_metallireducens--RS_GCF_000012925.1,8,3,24,24,100.0,1422.0,1.0,1257.9
s__Geobacter_sulfurreducens--RS_GCF_000007985.2,3,3,9,9,100.0,1346.0,303.0,1281.7
s__Geocrenenecus_arthurdayi--GB_GCA_023539395.1,1,9,9,0,0.0,,,
s__Geocrenenecus_dongiae--GB_GCA_023267855.1,1,5,5,0,0.0,,,
s__Geocrenenecus_huangii--GB_GCA_023268155.1,1,6,6,0,0.0,,,
s__Geofilum_sp002411385--RS_GCF_023674465.1,5,1,5,5,100.0,864.0,589.0,809.4
s__Geoglobus_sp002494725--GB_GCA_002494725.1,2,8,16,1,6.2,22.0,22.0,22.0
s__Geomonas_diazotrophica--RS_GCF_018919385.1,7,3,21,0,0.0,,,
s__Geomonas_edaphica--RS_GCF_004917075.1,5,4,20,4,20.0,396.5,393.0,396.0
s__Geomonas_ferrireducens--RS_GCF_004917065.1,5,4,20,6,30.0,408.5,404.0,519.2
s__Geomonas_paludis--RS_GCF_014193585.1,12,4,48,13,27.1,423.0,10.0,395.0
s__Geomonas_subterranea--RS_GCF_019063845.1,7,4,28,28,100.0,1128.0,374.0,1557.9
s__Georgenia_subflava--RS_GCF_009193155.1,6,2,12,0,0.0,,,
s__Georgenia_thermotolerans--RS_GCF_009193185.1,5,4,20,0,0.0,,,
s__Geosporobacter_ferrireducens--RS_GCF_001750685.1,9,2,18,18,100.0,1393.0,207.0,1562.4
s__Geothermincola_A_secundus--GB_GCA_015711755.1,2,1,2,0,0.0,,,
s__Geothrix_sp003158505--GB_GCA_003158505.1,2,2,4,0,0.0,,,
s__Geothrix_sp022808815--RS_GCF_022808815.1,5,2,10,3,30.0,181.0,180.0,181.0
s__Geothrix_sp022808935--RS_GCF_022808935.1,5,2,10,3,30.0,644.0,643.0,644.0
s__Geovibrio_sp001603805--GB_GCA_001603805.1,6,2,12,0,0.0,,,
s__Gibbsiella_quercinecans--RS_GCF_002291425.1,16,3,48,48,100.0,1349.5,87.0,1669.1
s__Giesbergeria_sp001724785--GB_GCA_001724785.1,9,3,27,0,0.0,,,
s__Giesbergeria_sp001770955--GB_GCA_001770955.1,5,3,15,1,6.7,81.0,81.0,81.0
s__Giesbergeria_sp010020825--RS_GCF_010020825.1,4,5,20,20,100.0,1282.5,92.0,1235.9
s__Giesbergeria_sp012932145--RS_GCF_012932145.1,9,5,45,0,0.0,,,
s__Giesbergeria_sp023954035--GB_GCA_023954035.1,7,3,21,0,0.0,,,
s__Giesbergeria_sp024709845--GB_GCA_024709845.1,6,2,12,0,0.0,,,
s__Giesbergeria_sp024710165--GB_GCA_024710165.1,6,3,18,0,0.0,,,
s__Gluconacetobacter_azotocaptans--RS_GCF_014174355.1,7,2,14,0,0.0,,,
s__Gluconacetobacter_dulcium--RS_GCF_014174165.1,4,3,12,0,0.0,,,
s__Gluconacetobacter_liquefaciens--RS_GCF_003350405.1,4,2,8,1,12.5,320.0,320.0,320.0
s__Glutamicibacter_mishrai--RS_GCF_012221945.1,4,2,8,8,100.0,1100.5,526.0,1100.5
s__Glutamicibacter_nicotianae--RS_GCF_006539525.1,5,2,10,1,10.0,105.0,105.0,105.0
s__Glutamicibacter_sp002975405--RS_GCF_002975405.1,6,1,6,0,0.0,,,
s__Glutamicibacter_sp002979865--GB_GCA_002979865.1,6,2,12,1,8.3,123.0,123.0,123.0
s__Glycomyces_artemisiae--RS_GCF_003002955.1,5,1,5,0,0.0,,,
s__Gordonia_amicalis--RS_GCF_000332995.1,8,5,40,0,0.0,,,
s__Gordonia_desulfuricans--RS_GCF_001485495.1,4,4,16,0,0.0,,,
s__Gordonia_hankookensis--RS_GCF_014673215.1,4,2,8,8,100.0,751.0,627.0,751.0
s__Gordonia_mangrovi--RS_GCF_024734075.1,4,1,4,4,100.0,708.5,707.0,708.5
s__Gordonia_namibiensis--RS_GCF_000298235.1,7,2,14,0,0.0,,,
s__Gordonia_rubripertincta--RS_GCF_000327325.1,6,3,18,0,0.0,,,
s__Gordonia_sihwensis--RS_GCF_000333035.1,5,2,10,0,0.0,,,
s__Gottfriedia_luciferensis_B--RS_GCF_001712755.1,10,5,50,1,2.0,90.0,90.0,90.0
s__Gottfriedia_solisilvae--RS_GCF_002128405.1,6,3,18,5,27.8,320.0,233.0,344.2
s__Gottfriedia_sp002556365--GB_GCA_013200995.1,6,5,30,30,100.0,1993.5,116.0,1911.6
s__Gottfriedia_sp002564465--GB_GCA_002564465.1,10,5,50,1,2.0,99.0,99.0,99.0
s__Gp1-AA112_sp003225175--GB_GCA_003225175.1,7,1,7,0,0.0,,,
s__Gp1-AA112_sp003225215--GB_GCA_003225215.1,6,1,6,0,0.0,,,
s__Gp1-AA122_sp003225055--GB_GCA_003225055.1,4,1,4,0,0.0,,,
s__Gp1-AA124_sp003225075--GB_GCA_003225075.1,4,1,4,0,0.0,,,
s__Gp1-AA133_sp003225465--GB_GCA_003225465.1,5,1,5,0,0.0,,,
s__Gp1-AA142_sp003224855--GB_GCA_003224855.1,4,1,4,0,0.0,,,
s__Gp1-AA145_sp003224755--GB_GCA_003224755.1,3,2,6,0,0.0,,,
s__Gp13-AA77_sp003224635--GB_GCA_003224635.1,4,1,4,0,0.0,,,
s__Gp18-AA60_sp003225335--GB_GCA_003225335.1,3,1,3,0,0.0,,,
s__Gp22-AA3_sp003223135--GB_GCA_003223135.1,2,1,2,0,0.0,,,
s__Gp6-AA38_sp003223835--GB_GCA_003223835.1,3,3,9,0,0.0,,,
s__Gp6-AA40_sp003222635--GB_GCA_003222635.1,4,2,8,0,0.0,,,
s__Gp6-AA45_sp001917905--GB_GCA_001917905.1,3,1,3,0,0.0,,,
s__Gp6-AA45_sp003222395--GB_GCA_003222395.1,4,3,12,0,0.0,,,
s__Gp6-AA45_sp003222535--GB_GCA_003222535.1,5,1,5,0,0.0,,,
s__Gp7-AA6_sp003222385--GB_GCA_003222385.1,3,2,6,0,0.0,,,
s__Gracilibacillus_salitolerans--RS_GCF_009650095.1,25,1,25,25,100.0,1284.0,219.0,1365.2
s__Gulosibacter_sediminis--RS_GCF_014904065.1,7,2,14,0,0.0,,,
s__Guyparkeria_hydrothermalis--RS_GCF_023555375.1,11,2,22,2,9.1,142.0,96.0,142.0
s__HA3dbin3_sp002753495--GB_GCA_002753495.1,6,2,12,0,0.0,,,
s__HA3dbin3_sp015231175--GB_GCA_015231175.1,5,1,5,0,0.0,,,
s__HB2-32-21_sp003645535--GB_GCA_003645535.1,4,1,4,0,0.0,,,
s__HCHbin5_sp002753505--GB_GCA_002753505.1,2,1,2,0,0.0,,,
s__HK02M2_sp024256245--GB_GCA_024256245.1,2,3,6,0,0.0,,,
s__HK02M2_sp024256285--GB_GCA_024256285.1,1,3,3,0,0.0,,,
s__HKST-UBA178_sp024235175--GB_GCA_024235175.1,2,4,8,0,0.0,,,
s__HKST-UBA178_sp024235215--GB_GCA_024235215.1,2,2,4,4,100.0,341.0,112.0,341.0
s__HKST-UBA178_sp024235255--GB_GCA_024235255.1,6,3,18,0,0.0,,,
s__Haladaptoplasma_sp007129655--GB_GCA_007129655.1,1,3,3,0,0.0,,,
s__Halalkalibacter_krulwichiae--RS_GCF_002109385.1,10,1,10,10,100.0,889.5,137.0,740.8
s__Halarcobacter_anaerophilus--RS_GCF_006459125.1,9,2,18,18,100.0,663.0,144.0,729.1
s__Halioglobus_lutimaris--RS_GCF_002866825.1,5,1,5,0,0.0,,,
s__Halioglobus_sp024234675--GB_GCA_024234675.1,4,2,8,4,50.0,196.5,195.0,285.5
s__Halioglobus_sp024234735--GB_GCA_024234735.1,3,2,6,0,0.0,,,
s__Halioglobus_sp024234815--GB_GCA_024234815.1,4,4,16,1,6.2,33.0,33.0,33.0
s__Halioglobus_sp024234855--GB_GCA_024234855.1,3,3,9,1,11.1,24.0,24.0,24.0
s__Haloarcula_salina--RS_GCF_010119195.1,3,8,24,2,8.3,239.5,77.0,239.5
s__Halobacillus_halophilus--RS_GCF_000284515.1,6,2,12,12,100.0,745.5,559.0,758.3
s__Halobacillus_litoralis--RS_GCF_009856445.1,4,2,8,2,25.0,460.5,429.0,460.5
s__Halobacillus_yeomjeoni--RS_GCF_020171525.1,4,3,12,7,58.3,703.0,166.0,740.3
s__Halochromatium_sp003562815--GB_GCA_003562815.1,4,1,4,0,0.0,,,
s__Halogeometricum_borinquense--RS_GCF_000172995.2,3,9,27,14,51.9,951.0,52.0,1089.1
s__Halolacustris_secundus--GB_GCA_003563375.1,1,2,2,0,0.0,,,
s__Halomicroarcula_salinisoli--RS_GCF_019599405.1,2,13,26,0,0.0,,,
s__Halomicroarcula_sp024218775--RS_GCF_024218775.1,3,7,21,21,100.0,1177.0,89.0,1257.0
s__Halomicrobium_salinisoli--RS_GCF_020405185.1,2,6,12,10,83.3,893.0,78.0,958.0
s__Halomonas_alkalisoli--RS_GCF_021412585.1,11,3,33,0,0.0,,,
s__Halomonas_caseinilytica--RS_GCF_001662305.1,11,1,11,2,18.2,212.0,211.0,212.0
s__Halomonas_chromatireducens--RS_GCF_001545155.1,13,3,39,39,100.0,689.0,65.0,694.8
s__Halomonas_hamiltonii--RS_GCF_014651775.1,11,2,22,0,0.0,,,
s__Halomonas_heilongjiangensis--RS_GCF_002879645.1,10,2,20,1,5.0,35.0,35.0,35.0
s__Halomonas_huangheensis--RS_GCF_001431725.1,11,2,22,22,100.0,1695.0,313.0,1554.1
s__Halomonas_icarae--RS_GCF_009901955.1,12,2,24,24,100.0,1365.0,89.0,1377.0
s__Halomonas_kenyensis--RS_GCF_013697085.1,17,3,51,0,0.0,,,
s__Halomonas_profundi--RS_GCF_019722725.1,11,2,22,22,100.0,1291.0,252.0,1544.9
s__Halomonas_sedimenti--RS_GCF_013416325.1,16,2,32,2,6.2,93.0,92.0,93.0
s__Halomonas_smyrnensis--RS_GCF_000265245.1,11,1,11,0,0.0,,,
s__Halomonas_sp000235725--RS_GCF_000235725.1,17,2,34,0,0.0,,,
s__Halomonas_sp003031405--RS_GCF_003031405.1,11,1,11,11,100.0,737.0,718.0,908.5
s__Halomonas_sp003553625--GB_GCA_003553625.1,13,4,52,0,0.0,,,
s__Halomonas_sp011050415--GB_GCA_011050415.1,21,3,63,0,0.0,,,
s__Halomonas_urumqiensis--RS_GCF_003028575.1,11,3,33,8,24.2,61.5,47.0,70.8
s__Halomonas_zhaodongensis--RS_GCF_013415115.1,11,2,22,5,22.7,219.0,217.0,250.2
